STREET,QUADRANT,FROMINTERSECTION,TOINTERSECTION,NOOFBLOCKS,WORKDESCRIPTION,YEARBUDGETED,PERCENTCOMPLETED,STATUS,MILES,WARD,FUNCTIONALCLASS,ESTIMATEDSTARTDATE,ESTIMATEDCOMPLETIONDATE,ACTUALCOMPLETIONDATE,REMARKS,XCOORD,YCOORD,LATITUDE,LONGITUDE,PROJECTNOTE,PROJECTNAME,PROJECTMGR,PROJECTID,TEAMREP,EMAIL,CONTACTPHONE
Randle Cir,SE,32nd St,K St,1,Pavement Resurface/restoration,2004,100,Completed,0.04,7,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,9/9/2005 12:00:00 AM,,403314.537280,134521.788540,38.878522507394,-76.96180087495510,,,,5717,,,
C St,NE,4th St (N)  Massachusetts ,5th St (N),2,Pavement Resurface/restoration,2005,100,Completed,0.12,6,MINOR ARTERIAL,7/5/2005 12:00:00 AM,,8/16/2005 12:00:00 AM,,400042.005980,136248.158750,38.89408055282370,-76.99951578714280,,,,8135,,,
West Virginia Ave,NE,Mount Olivet Rd,Mount Olivet Rd,0,High Accident Intersection,2004,100,Completed,0,5,MINOR ARTERIAL,,,8/17/2005 12:00:00 AM,,401233.90,138068.130010,38.91047463444150,-76.98577327377450,,,,5446,,,
37th St,NW,Porter St,Quebec St,1,Pavement Resurface/restoration,2005,100,Completed,0.06,3,LOCAL,4/4/2005 12:00:00 AM,,8/17/2005 12:00:00 AM,Completed and never reported; found in condition survey photos,393721.252950,141097.519840,38.93774277412570,-77.07242093201840,,,,5653,,,
9th St,NE,Hamlin St,Jackson St,2,Pavement Resurface/restoration,2004,100,Completed,0.14,5,MINOR ARTERIAL,7/1/2005 12:00:00 AM,7/1/2005 12:00:00 AM,8/18/2005 12:00:00 AM,,400542.398010,140062.476860,38.92844106077230,-76.99374463712690,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5426,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Rodman St,NW,49th St,Fordham Rd,1,Sidewalk Construction,2005,100,Completed,0.13,3,LOCAL,7/27/2005 12:00:00 AM,,8/18/2005 12:00:00 AM,,391503.035190,141280.361630,38.93937121318440,-77.09800876114160,N/A,Citywide Pavement Restoration,Paul Stephenson,735,Mike,N/A,202-671-4591
Eastern Ave,NE,Fort Lincoln Dr,Bladensburg Rd,1,Pavement Resurface/restoration,2004,100,Completed,0.14,5,MINOR ARTERIAL,7/1/2005 12:00:00 AM,,8/22/2005 12:00:00 AM,,403741.9264,140239.941980,38.93003192133370,-76.95684418059850,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5472,Said Cherifi,said.cherifi@dc.gov,202-671-4611
3rd St,NW,Rhode Island Ave,Elm St,4,Reconstruction,2004,100,Completed,0.19,1,LOCAL,3/31/2004 12:00:00 AM,,8/22/2005 12:00:00 AM,Originally proposed 03/31/2005,398633.390010,138693.40,38.91610708067260,-77.015758101699,POKA-2004-B-0010-JJ,Rehabilitation of Special Streets in LeDroit Park Historic District,Maduabuchi Udeh,4999,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Massachusetts Ave,SE,Fort Davis Dr,Southern Ave,4,Pavement Resurface/restoration,2004,100,Completed,0.54,7,COLLECTOR,4/4/2005 12:00:00 AM,,8/22/2005 12:00:00 AM,,404841.986430,133693.248350,38.87105160436720,-76.94420328611410,,,,5709,,,
Anacostia Fwy,SE,East Capitol St (W),Pennsylvania Ave (W),1,Pavement Resurface/restoration,4,100,Completed,1.43,7,OTHER FREEWAY AND EXPRESSWAY,,,8/22/2005 12:00:00 AM,,403093.760770,134891.891740,38.88185734556510,-76.96434359687850,,,,8650,,,
Anacostia Fwy,SE,East Capitol St (E)  Kenil,Pennsylvania Ave (E),1,Pavement Resurface/restoration,4,100,Completed,1.43,7,OTHER FREEWAY AND EXPRESSWAY,,,8/22/2005 12:00:00 AM,,403108.1097,134894.044860,38.88187669109740,-76.96417821198170,,,,8651,,,
Anacostia Fwy,SE,Pennsylvania Ave (W),Interstate 295 (W),1,Pavement Resurface/restoration,4,100,Completed,0.95,8,OTHER FREEWAY AND EXPRESSWAY,,,8/22/2005 12:00:00 AM,,401531.604160,133780.823320,38.87185251136020,-76.98235033603510,,,,8652,,,
Anacostia Fwy,SE,Pennsylvania Ave (E),Interstate 295 (E),1,Pavement Resurface/restoration,4,100,Completed,1.03,8,OTHER FREEWAY AND EXPRESSWAY,,,8/22/2005 12:00:00 AM,,401498.809730,133745.792350,38.87153699477540,-76.98272832380070,,,,8653,,,
Interstate 295,BN,Firth Sterling Ave (W),Anacostia Fwy (W),3,Pavement Resurface/restoration,4,100,Completed,0.94,8,INTERSTATE,,,8/22/2005 12:00:00 AM,,400328.055420,132877.358140,38.86371500009180,-76.99622003656150,,,,8654,,,
Interstate 295,BN,Firth Sterling Ave (E),Anacostia Fwy (E),3,Pavement Resurface/restoration,4,100,Completed,0.86,8,INTERSTATE,,,8/22/2005 12:00:00 AM,,400301.1319,132854.512630,38.86350920787950,-76.99653026830030,,,,8655,,,
Kenilworth Ave,NE,East Capitol St (M)  Anaco,Maryland Line (W),5,Pavement Resurface/restoration,4,100,Completed,2.08,7,OTHER FREEWAY AND EXPRESSWAY,,,8/22/2005 12:00:00 AM,,404711.972550,137001.976510,38.90085858841050,-76.94567881477890,,,,8656,,,
62nd St,NE,Clay St,Dix St,1,Pavement Resurface/restoration,2005,100,Completed,0.07,7,LOCAL,7/1/2010 12:00:00 AM,,8/22/2005 12:00:00 AM,,407609.009830,136200.949920,38.89362235027420,-76.91228969558570,,,,4266,,,
Brentwood Pky,NE,Mount Olivet Rd,New York Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.10,5,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,8/23/2005 12:00:00 AM,,400799.956320,138353.087420,38.91304212954940,-76.99077626288570,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5471,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Q St,NW,44th St,Foxhall Rd,2,Pavement Resurface/restoration,2004,100,Completed,0.14,3,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,12/21/2005 12:00:00 AM,,392839.757850,138096.388130,38.91070089310650,-77.08255704789590,N/A,Pavement Resurface/restoration,Paul Stephenson,5270,Mike Howard,N/A,202-671-4591
North Capitol St,BN,Michigan Ave,Harewood Rd,0,Federal Aid Resurfacing,2003,100,Completed,1.17,5,OTHER FREEWAY AND EXPRESSWAY,8/5/2003 12:00:00 AM,12/30/2005 12:00:00 AM,12/30/2005 12:00:00 AM,,399437.425250,141010.597730,38.93698200928860,-77.00648883422570, ,Rehabilitation of North Capitol Street From Michigan Ave. to Buchanan ,Eskender  Konjit,5098,Stanley Freeman,stanley.freeman@dc.gov,202-234-1458
North Capitol St,BN,Michigan Ave,Irving St,1,Bridge Construction,2003,100,Completed,0.03,5,OTHER FREEWAY AND EXPRESSWAY,7/8/2003 12:00:00 AM,12/30/2005 12:00:00 AM,12/30/2005 12:00:00 AM,,399283.012350,140131.768930,38.929065140167,-77.008268941073,N/A,N. Capitol St  NE Bridge over Irving St,Konjit Eskender,8550,Stanley Freeman,Stanley.Freeman@dc.gov,202-234-1458
Clermont Dr,NE,Fort Dr  North Capitol St,Allison St  Hawaii Ave,1,Federal Aid Resurfacing,99,100,Completed,0.28,5,PRINCIPAL ARTERIAL,11/12/2003 12:00:00 AM,12/30/2005 12:00:00 AM,12/30/2005 12:00:00 AM,,399349.252160,141830.233920,38.94436546933610,-77.00750661523780,,Rehabilitation of North Capitol St. Bridge over Irving St.,Konjit Eskender,8142,Stanley Freeman,Stanley.Freeman@DC.GOV,202-671-4590
Scale Gate Rd,NE,North Capitol St,Harewood Rd,1,Bridge Construction,1998,100,Completed,0.02,5,LOCAL,3/31/2004 12:00:00 AM,12/30/2005 12:00:00 AM,12/30/2005 12:00:00 AM,Orginally proposed for FY-05 (03/31/05);2nd Aid to State,399635.927710,140991.995620,38.93681454063580,-77.00419926273950,Bridge over N. Capitol St,Rehabilitation of Soldiers home Bridge over North Capitol St.,Konjit Eskender,4432,Stanley Freeman,Stanley.Freeman@DC.GOV,202-671-4590
T St,NW,2nd St (N),Florida Ave (E),6,Reconstruction,2004,100,Completed,0.28,1,COLLECTOR,3/31/2004 12:00:00 AM,,8/23/2005 12:00:00 AM,,398507.9640,138672.627740,38.91591975326730,-77.01720431832390,POKA-2004-B-0010-JJ,Rehabilitation of Special Streets in LeDroit Park Historic District,Maduabuchi Udeh,4997,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
6th St,NW,Florida Ave,U St,2,Reconstruction,2004,100,Completed,0.07,1,LOCAL,4/4/2005 12:00:00 AM,,8/23/2005 12:00:00 AM,,398258.4184,138678.316090,38.91597053672650,-77.020081784644,POKA-2004-B-0010-JJ,Rehabilitation of Special Streets inLeDroit Park Historic District,Maduabuchi Udeh,5002,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Benning Rd,SE,Southern Ave,Southern Ave,0,High Accident Intersection,2004,100,Completed,0,7,LOCAL,,,10/17/2005 12:00:00 AM,#14-5-223 10/17/04  #14-5-225 10/17/04  #14-10-148 10/17/04,405987.309990,134246.399990,38.87602756223890,-76.931000316995,,,,5445,,,
Sheridan Rd,SE,Howard Rd,Stanton Rd (W),2,Pavement Resurface/restoration,2004,100,Completed,0.03,8,COLLECTOR,3/31/2004 12:00:00 AM,,10/18/2005 12:00:00 AM,,400562.119770,132458.095420,38.85993798779130,-76.99352341217030,FY-04 per Sylvester,,,3191,,,
Stanton Rd,SE,Martin Luther King Jr Ave,Dunbar Rd,1,Pavement Resurface/restoration,2004,100,Completed,0.01,8,COLLECTOR,3/31/2004 12:00:00 AM,,10/18/2005 12:00:00 AM,,400470.8744,132354.448090,38.859004342530,-76.99457478694240,,FedAid_6YR_CIP,,3193,,,
Benning Rd,SE,East Capitol St,Hanna Pl (N),10,Pavement Resurface/restoration,2005,100,Completed,0.73,7,MINOR ARTERIAL,10/17/2005 12:00:00 AM,10/28/2005 12:00:00 AM,10/18/2005 12:00:00 AM,,405603.686150,135220.774010,38.88480762913760,-76.93541337527630,,,,8561,,,
36th St,NW,Reno Rd,Warren St,1,Pavement Resurface/restoration,2005,100,Completed,0.05,3,LOCAL,7/1/2007 12:00:00 AM,10/19/2005 12:00:00 AM,10/19/2005 12:00:00 AM,,393944.888280,141836.9193,38.94440506658060,-77.06984798218420,N/A,Citywide Pavement Project,Paul Stephenson,6775,Rodney Olive,,202-671-4591
36th St,NW,Alton Pl,Albemarle St,1,Pavement Resurface/restoration,2005,100,Completed,0.06,3,LOCAL,7/1/2008 12:00:00 AM,10/19/2005 12:00:00 AM,10/19/2005 12:00:00 AM,,393945.554650,142179.684350,38.94749279430430,-77.06984332044030,N/A,Citywide Pavement Restoration,Paul Stephenson,6776,Rodney Olive,,202-671-4591
Foote St,NE,58th St,60th St  Eastern Ave,2,Pavement Resurface/restoration,2005,100,Completed,0.15,7,LOCAL,9/30/2005 12:00:00 AM,10/19/2005 12:00:00 AM,10/19/2005 12:00:00 AM,,407256.019750,136591.785560,38.89714612359640,-76.91635453977640,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,8832,Sylvester Okapala,,202-671-4613
D St,SE,33rd St,Minnesota Ave,2,Pavement Resurface/restoration,2005,100,Completed,0.15,7,LOCAL,10/19/2005 12:00:00 AM,10/19/2005 12:00:00 AM,10/19/2005 12:00:00 AM,,403611.105250,135177.260220,38.88442608198950,-76.95837956751970,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,8833,Sylvester Okapala,,202-671-4613
Fort Dr,NE,Half Pl,1st St,1,Federal Aid Resurfacing,2004,100,Completed,0.10,5,MINOR ARTERIAL,4/4/2005 12:00:00 AM,,10/19/2005 12:00:00 AM,,399439.707740,141530.352030,38.94166410970280,-77.00646293201450,,Street Resurfacing,Abdullahi Mohamed,3160,Morgan Prince,morgan.prince@dc.gov,202-671-4627
Grant St,NE,44th St,46th St,1,Pavement Resurface/restoration,2004,100,Completed,0.14,7,LOCAL,4/4/2005 12:00:00 AM,10/19/2005 12:00:00 AM,10/19/2005 12:00:00 AM,,405387.258080,136725.631550,38.89836529515790,-76.93789606837070,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okapala,5561,Sylvester Okapala,,202-671-4613
36th St,NW,Warren St,Yuma St,1,Pavement Resurface/restoration,2004,100,Completed,0.10,3,LOCAL,4/4/2005 12:00:00 AM,10/19/2005 12:00:00 AM,10/19/2005 12:00:00 AM,,393944.881590,141961.609990,38.94552831524580,-77.06984915990840,,Citywide Pavement Project,Paul Stephenson,5022,Rodney Olive,,202-871-4591
18th St,NW,Monroe St,Newton St,1,Pavement Resurface/restoration,2005,100,Completed,0.06,1,LOCAL,4/4/2005 12:00:00 AM,,10/20/2005 12:00:00 AM,,396420.071770,140650.100030,38.93372742497870,-77.04128962641720,POKA-2003-B-048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,8681,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Puerto Rico Ave,NE,Taylor St,6th St,1,Federal Aid Resurfacing,2004,100,Completed,0.49,5,COLLECTOR,7/21/2005 12:00:00 AM,,10/20/2005 12:00:00 AM,2 Year SP 2000 - 2002,400142.663130,141706.302370,38.943249288031,-76.99835435418840,,Street Resurfacing,Abdullahi Mohamed,2872,Morgan Prince,morgan.prince@dc.gov,202-671-4627
6th St,NE,Puerto Rico Ave,Cul De Sac (N),1,Federal Aid Resurfacing,2004,100,Completed,0.11,5,LOCAL,4/4/2005 12:00:00 AM,,10/21/2005 12:00:00 AM,,400077.049630,142132.733030,38.94709070420830,-76.99911117025450,,Street Resurfacing,Abdullahi Mohamed,6216,MORGAN PRINCE,morgan.prince@dc.gov,202-671-4627
Firth Sterling Ave,SE,Suitland Pky,Suitland Pky,0,High Accident Intersection,2004,100,Completed,0,8,COLLECTOR,,,10/22/2005 12:00:00 AM,#14-8-2 10/17/04  #14-8-3 10/22/04  #14-8-4 08/03/04,400196.206720,132727.9342,38.86236896634570,-76.99773928368310,,,,5396,,,
Oakwood Ter,NW,Cul De Sac,17th St,1,Pavement Resurface/restoration,2004,100,Completed,0.08,1,LOCAL,4/4/2005 12:00:00 AM,,10/24/2005 12:00:00 AM,,396666.240510,140781.426110,38.93491141830850,-77.03845104154210,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,5035,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
East Capitol St,BN,Anacostia Fwy (W)  Kenilwo,Southern Ave,29,Pavement Resurface/restoration,4,100,Completed,2.44,7,OTHER FREEWAY AND EXPRESSWAY,,,10/24/2005 12:00:00 AM,,403608.132030,135772.425660,38.88978756951090,-76.95841071074770,,,,8658,,,
Newton St,NW,Holmead Pl,14th St (N),1,Pavement Resurface/restoration,2004,100,Completed,0.11,1,LOCAL,4/4/2005 12:00:00 AM,,10/24/2005 12:00:00 AM,WASA Lead Location FY-05,397242.84,140511.491780,38.932481766955,-77.03179955256940,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,3800,Michael Jelen,Michae.Jelen@dc.gov,202-671-4542
Farragut Pl,NE,6th Pl,South Dakota Ave,1,Pavement Resurface/restoration,2005,100,Completed,0.15,5,LOCAL,8/8/2005 12:00:00 AM,,10/25/2005 12:00:00 AM,,400282.619610,142595.867140,38.95126270191770,-76.99673956360060,,,,7161,,,
S St,SE,28th Pl,29th St,1,Pavement Resurface/restoration,2004,100,Completed,0.05,7,LOCAL,4/4/2005 12:00:00 AM,10/28/2005 12:00:00 AM,10/26/2005 12:00:00 AM,,402926.735010,133413.783610,38.86854253255740,-76.96627490585260,,Citywide Pavement Restoration Local Streets ward7 8,Sylvester Okpala,5660,Sylvester Okapala,,202-671-4613
East Capitol St,BN,Anacostia Fwy (E)  Kenilwo,Southern Ave,28,Pavement Resurface/restoration,4,100,Completed,2.41,7,OTHER FREEWAY AND EXPRESSWAY,,,10/26/2005 12:00:00 AM,,405242.635810,135772.201660,38.88977732416570,-76.93957053888160,,,,8659,,,
17th St,NW,Pennsylvania Ave,H St,1,Pavement Resurface/restoration,2005,100,Completed,0.10,2,PRINCIPAL ARTERIAL,7/1/2006 12:00:00 AM,,11/28/2005 12:00:00 AM,,396577.896570,136851.716860,38.89951096366970,-77.03945039902620,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,6474,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
19th St,NW,F St,H St (S),2,Pavement Resurface/restoration,2005,100,Completed,0.15,2,MINOR ARTERIAL,7/1/2006 12:00:00 AM,,11/28/2005 12:00:00 AM,,396229.488630,136735.796830,38.89846528902880,-77.04346624866890,POKA-2004-B-0016-JJ,Federal Aid City Wide Pavement Restoration Contract,Maduabuchi Udeh,6477,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Eastern Ave,NE,Hamilton St,Kennedy St,3,Pavement Resurface/restoration,2004,100,Completed,0.25,5,MINOR ARTERIAL,7/1/2006 12:00:00 AM,,9/9/2005 12:00:00 AM,,400822.319230,143162.369250,38.95636556509040,-76.99051264878990,,,,8156,,,
New York Ave,NW,H St,14th St,1,Pavement Resurface/restoration,2004,100,Completed,0.11,2,MINOR ARTERIAL,3/31/2004 12:00:00 AM,,9/9/2005 12:00:00 AM,,397298.683710,136869.870430,38.89967700803060,-77.03114115470830,POKA-2004-B-0016-JJ,Federal Aid Citywide Pavement Restoration,Maduabuchi Udeh,4458,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Massachusetts Ave,NW,20th St,22nd St,3,Pavement Resurface/restoration,2004,100,Completed,0.23,2,PRINCIPAL ARTERIAL,4/4/2005 12:00:00 AM,,9/12/2005 12:00:00 AM,,395937.669050,138107.5488,38.910821210406,-77.04683844184760,POKA-2004-B-0016-JJ,Federal Aid Citywide Pavement Restoration,Maduabuchi Udeh,5230,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
16th St,NW,M St,P St,4,Reconstruction,2004,100,Completed,0.28,2,PRINCIPAL ARTERIAL,4/3/2004 12:00:00 AM,10/30/2005 12:00:00 AM,9/13/2005 12:00:00 AM,,396831.687290,137754.915070,38.90764824238150,-77.03652883735790,POKA-2003-B-0046-JJ      NH-1103(027)&,Rehabilitation of 16th Street Underpass at Scott Circle,Maduabuchi Udeh,5182,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
Kenilworth Ave,NE,Anacostia Fwy (E),Maryland Line (E),4,Federal Aid Resurfacing,2004,100,Completed,2.06,7,OTHER FREEWAY AND EXPRESSWAY,5/16/2005 12:00:00 AM,5/16/2006 12:00:00 AM,9/15/2005 12:00:00 AM,,404731.607780,137004.966240,38.90088541548870,-76.94545243278220,FY-04 per Sylvester,NHS/STP - IDIQ,Zahra Dorriz,5125,Ali Shakeri,,671-4612
Q St,NW,Florida Ave (E),1st St,1,Pavement Resurface/restoration,2004,100,Completed,0.13,5,MINOR ARTERIAL,7/1/2005 12:00:00 AM,,9/15/2005 12:00:00 AM,,399046.835010,138139.88,38.91112133209170,-77.01098998321760,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5484,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Branch Ave,SE,Q St,Southern Ave,15,Pavement Resurface/restoration,2005,100,Completed,1.08,7,MINOR ARTERIAL,,,9/15/2005 12:00:00 AM,,403546.634530,132759.854520,38.86264938874560,-76.95913510851540,,Restoration OF NHS/STP Routes (Various Locations),Zohra Dorris,8524,Ali Shakeri,,671-4612
4th St,SE,East Capitol St,Pennsylvania Ave,3,Design,2004,100,Completed,0.25,6,COLLECTOR,4/4/2005 12:00:00 AM,,9/16/2005 12:00:00 AM,2 Year CIP 2000 - 2002,399950.035740,135588.670810,38.88813963925680,-77.00057590187280,,,,2700,,,
16th St,NE,C St,Isherwood St,2,Regular Cover,1999,100,Completed,0.15,6,LOCAL,3/31/2004 12:00:00 AM,9/15/2003 12:00:00 AM,9/16/2005 12:00:00 AM,2 Year CIP 2001 - 2003,401543.268770,136283.309760,38.89439585245330,-76.98221029748930,,,,2648,,,
Duncan Pl,NE,12th St,13th St,1,Pavement Resurface/restoration,2004,100,Completed,0.10,6,LOCAL,4/4/2005 12:00:00 AM,,9/21/2005 12:00:00 AM,On Hold for WASA,400930.140190,136398.784920,38.89543695755480,-76.98927785035930,,WASA,,5537,,,
Parkside Dr,NW,West Beach Dr,Yorktown Rd,3,Pavement Resurface/restoration,2004,100,Completed,0.45,4,LOCAL,4/4/2005 12:00:00 AM,10/31/2005 12:00:00 AM,9/21/2005 12:00:00 AM,,395984.771260,146491.907910,38.98635003959210,-77.04634443322540,N/A,Citywide Pavement Restoraction,Paul Stephenson,5808,Alfredo Deguzman and Madibo,N/A,202-671-4591
V St,NW,12th St,13th St,1,Pavement Resurface/restoration,2004,100,Completed,0.08,1,LOCAL,,,9/21/2005 12:00:00 AM,,397497.874460,138916.2448,38.918112040864,-77.02885231189390,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,8557,Michael Jelen,Michael.Jelen@dc.gov,
Galloway St,NE,4th St,South Dakota Ave,1,Federal Aid Resurfacing,2004,100,Completed,0.12,5,COLLECTOR,7/5/2005 12:00:00 AM,,9/21/2005 12:00:00 AM,,400184.095930,142742.439110,38.952583088116,-76.997876141045,,Street Resurfacing,Abdullahi Mohamed,3174,Morgan Prince,morgan.prince@dc.gov,202-671-4627
16th St,NE,West Virginia Ave,New York Ave,2,Regular Cover,1999,100,Completed,0.14,5,LOCAL,3/31/2004 12:00:00 AM,7/31/2003 12:00:00 AM,9/21/2005 12:00:00 AM,2 Year CIP 2001 - 2003,401640.584420,138687.327520,38.91605190901990,-76.98108276949340,,,,2528,,,
Crittenden St,NE,12th St,South Dakota Ave,1,Reconstruction,1999,100,Completed,0.02,5,LOCAL,3/31/2004 12:00:00 AM,8/18/2003 12:00:00 AM,9/21/2005 12:00:00 AM,2 Year CIP 2001 - 2003,400866.6743,142154.608480,38.94728734022970,-76.99000218399670,,,,2529,,,
King Pl,NW,W St,Calvert St,1,Pavement Resurface/restoration,2004,100,Completed,0.26,3,LOCAL,4/4/2005 12:00:00 AM,9/21/2005 12:00:00 AM,9/21/2005 12:00:00 AM,,391713.751730,139236.791520,38.92096412594070,-77.09555356713850,N/A,Citywide Pavement Restoration,Paul Stephenson,4508,Alfredo Deguzman,N/A,202-671-4591
Rhode Island Ave,NE,Central Ave,Monroe St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,5,PRINCIPAL ARTERIAL,7/1/2005 12:00:00 AM,,9/22/2005 12:00:00 AM,,402725.216350,140538.538340,38.93272551024350,-76.96856876032110,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5487,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Delaware Ave,NE,2nd St,M St,1,Pavement Resurface/restoration,2003,100,Completed,0.11,6,LOCAL,,,9/22/2005 12:00:00 AM,,399711.051740,137448.560190,38.90489415378220,-77.00333127981590,,,,5010,,,
Irving St,NE,24th St,25th St,1,Pavement Resurface/restoration,2004,100,Completed,0.05,5,LOCAL,4/4/2005 12:00:00 AM,,9/22/2005 12:00:00 AM,On Hold for WASA,402457.560030,140142.578180,38.92915936904610,-76.97165718792420,,,,5581,,,
Q St,SE,28th Pl,30th St,2,Pavement Resurface/restoration,2005,100,Completed,0.11,7,LOCAL,,,9/22/2005 12:00:00 AM,,402971.277310,133657.627930,38.87073903171670,-76.965760586123,,,,8728,,,
I St,SE,7th St,8th St,1,Federal Aid Resurfacing,1998,100,Completed,0.05,6,COLLECTOR,12/25/1997 12:00:00 AM,1/24/1998 12:00:00 AM,9/25/2005 12:00:00 AM,,400383.525050,134605.611070,38.87928377703820,-76.99557993288870,,,Tim Martin,2130,,,
Grant Rd,NW,30th St,32nd St,1,Pavement Resurface/restoration,2004,100,Completed,0.19,3,LOCAL,4/4/2005 12:00:00 AM,,9/26/2005 12:00:00 AM,Temp Street,394505.981720,142612.764160,38.95139777927570,-77.06338177509640,N/A,Citywide Pavement Restoration,Pual Stephenson,5031,Charles Daniel,N/A,202-671-4591
Ontario Rd,NW,Lanier Pl,Ontario Pl,2,Pavement Resurface/restoration,2004,100,Completed,0.09,1,LOCAL,4/4/2005 12:00:00 AM,,9/23/2005 12:00:00 AM,,396375.583550,139733.989250,38.92547463401540,-77.04179789988880,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract,Maduabuchi Udeh,5806,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
16th St,NW,Alaska Ave,Maryland Line,18,Street Light Projects,2004,100,Completed,1.24,4,PRINCIPAL ARTERIAL,,,9/23/2005 12:00:00 AM,,396851.428990,146210.768170,38.98382100928830,-77.036340036030,,,,8604,,,
Ontario Pl,NW,Ontario Rd,Adams Mill Rd,1,Pavement Resurface/restoration,2004,100,Completed,0.16,1,LOCAL,3/31/2004 12:00:00 AM,,9/23/2005 12:00:00 AM,2 Year SP 2000 - 2002,396219.2727,139651.838820,38.92473393835440,-77.043600072572,POKA-2003-B-0048-JJ,Citywide Pavement Restoration Contract (Local Streets),Maduabuchi Udeh,2811,Michael Jelen,Michael.Jelen@dc.gov,202-671-4542
North Capitol St,BN,Buchanan St,Crittenden St,1,Federal Aid Resurfacing,2004,100,Completed,0.05,4/5,PRINCIPAL ARTERIAL,,,9/27/2005 12:00:00 AM,,399249.386810,142208.584230,38.94777367566160,-77.00865901268490,WASA FY06 LSR,Street Resurfacing,Mohamed Abdulahi,8601,Morgan Prince,morgan.prince@dc.gov,202-671-4627
Holbrook Ter,NE,Montello Ave,Queen St,1,Pavement Resurface/restoration,2004,100,Completed,0.16,5,LOCAL,4/4/2005 12:00:00 AM,,9/27/2005 12:00:00 AM,On Hold for WASA,401243.863680,137697.792160,38.90713848963470,-76.98565906446950,,,,5884,,,
North Capitol St,BN,Crittenden St,Farragut Pl,2,Federal Aid Resurfacing,2004,100,Completed,0.20,4/5,PRINCIPAL ARTERIAL,7/21/2005 12:00:00 AM,,9/27/2005 12:00:00 AM,,399237.095290,142411.861540,38.94960484331020,-77.00880103273680,WASA FY-06 LSR,Street Resurfacing,Abdullahi Mohamed,3158,Morgan Prince,morgan.prince@dc.gov,202-671-4627
Trinidad Ave,NE,Simms Pl,Mount Olivet Rd,1,Pavement Resurface/restoration,2004,100,Completed,0.04,5,COLLECTOR,7/1/2005 12:00:00 AM,,9/28/2005 12:00:00 AM,,401525.760060,137873.758270,38.90872320900080,-76.98240859251570,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5496,Said Cherifi,said.cherifi@dc.gov,202-671-4611
Tewkesbury Pl,NW,Cul De Sac,13th St,1,Pavement Resurface/restoration,2004,100,Completed,0.08,4,LOCAL,4/4/2005 12:00:00 AM,9/28/2005 12:00:00 AM,9/28/2005 12:00:00 AM,,397493.069470,144484.406850,38.96827162049590,-77.02892806516840,N/A,Citywide Pavement Project,Paul Stephenson,5877,Midibo Hylton ,N/A,202-671-4591
1st St,NE,Patterson St,N St,1,Pavement Resurface/restoration,2004,100,Completed,0.05,6,COLLECTOR,7/1/2005 12:00:00 AM,,9/29/2005 12:00:00 AM,,399489.522780,137664.76,38.906841656370,-77.00588544430470,,Fedral Aid Citywide Pavement Restoration,Mohamed Abdullahi,5515,Said Cherifi,said.cherifi@dc.gov,202-671-4611
